img_filename,order,seq,mask_filename
data/S_0/39.png,39.0,0.0,data/S_0/label_39.npy
data/S_0/86.png,86.0,0.0,data/S_0/label_86.npy
data/S_0/91.png,91.0,0.0,data/S_0/label_91.npy
data/S_0/137.png,137.0,0.0,data/S_0/label_137.npy
data/S_1/53.png,53.0,1.0,data/S_1/label_53.npy
data/S_1/110.png,110.0,1.0,data/S_1/label_110.npy
data/S_1/127.png,127.0,1.0,data/S_1/label_127.npy
data/S_2/79.png,79.0,2.0,data/S_2/label_79.npy
data/S_2/106.png,106.0,2.0,data/S_2/label_106.npy
data/S_2/109.png,109.0,2.0,data/S_2/label_109.npy
data/S_3/54.png,54.0,3.0,data/S_3/label_54.npy
data/S_3/66.png,66.0,3.0,data/S_3/label_66.npy
data/S_3/142.png,142.0,3.0,data/S_3/label_142.npy
data/S_4/20.png,20.0,4.0,data/S_4/label_20.npy
data/S_4/51.png,51.0,4.0,data/S_4/label_51.npy
data/S_4/112.png,112.0,4.0,data/S_4/label_112.npy
data/S_5/85.png,85.0,5.0,data/S_5/label_85.npy
data/S_5/114.png,114.0,5.0,data/S_5/label_114.npy
data/S_5/130.png,130.0,5.0,data/S_5/label_130.npy
data/S_6/22.png,22.0,6.0,data/S_6/label_22.npy
data/S_6/62.png,62.0,6.0,data/S_6/label_62.npy
data/S_6/95.png,95.0,6.0,data/S_6/label_95.npy
data/S_7/54.png,54.0,7.0,data/S_7/label_54.npy
data/S_7/68.png,68.0,7.0,data/S_7/label_68.npy
data/S_7/69.png,69.0,7.0,data/S_7/label_69.npy
data/S_8/20.png,20.0,8.0,data/S_8/label_20.npy
data/S_8/39.png,39.0,8.0,data/S_8/label_39.npy
data/S_8/70.png,70.0,8.0,data/S_8/label_70.npy
data/S_9/23.png,23.0,9.0,data/S_9/label_23.npy
data/S_9/131.png,131.0,9.0,data/S_9/label_131.npy
data/S_10/22.png,22.0,10.0,data/S_10/label_22.npy
data/S_10/103.png,103.0,10.0,data/S_10/label_103.npy
data/S_10/157.png,157.0,10.0,data/S_10/label_157.npy
data/S_11/24.png,24.0,11.0,data/S_11/label_24.npy
data/S_11/52.png,52.0,11.0,data/S_11/label_52.npy
data/S_11/94.png,94.0,11.0,data/S_11/label_94.npy
data/S_12/36.png,36.0,12.0,data/S_12/label_36.npy
data/S_12/122.png,122.0,12.0,data/S_12/label_122.npy
data/S_13/25.png,25.0,13.0,data/S_13/label_25.npy
data/S_13/26.png,26.0,13.0,data/S_13/label_26.npy
data/S_13/70.png,70.0,13.0,data/S_13/label_70.npy
data/S_14/38.png,38.0,14.0,data/S_14/label_38.npy
data/S_14/67.png,67.0,14.0,data/S_14/label_67.npy
data/S_14/110.png,110.0,14.0,data/S_14/label_110.npy
data/S_15/48.png,48.0,15.0,data/S_15/label_48.npy
data/S_15/62.png,62.0,15.0,data/S_15/label_62.npy
data/S_16/23.png,23.0,16.0,data/S_16/label_23.npy
data/S_16/24.png,24.0,16.0,data/S_16/label_24.npy
data/S_16/35.png,35.0,16.0,data/S_16/label_35.npy
data/S_17/19.png,19.0,17.0,data/S_17/label_19.npy
data/S_17/69.png,69.0,17.0,data/S_17/label_69.npy
data/S_18/38.png,38.0,18.0,data/S_18/label_38.npy
data/S_18/79.png,79.0,18.0,data/S_18/label_79.npy
data/S_18/105.png,105.0,18.0,data/S_18/label_105.npy
data/S_19/111.png,111.0,19.0,data/S_19/label_111.npy
data/S_19/142.png,142.0,19.0,data/S_19/label_142.npy
data/S_20/90.png,90.0,20.0,data/S_20/label_90.npy
data/S_20/131.png,131.0,20.0,data/S_20/label_131.npy
data/S_21/79.png,79.0,21.0,data/S_21/label_79.npy
data/S_21/111.png,111.0,21.0,data/S_21/label_111.npy
data/S_21/143.png,143.0,21.0,data/S_21/label_143.npy
data/S_22/111.png,111.0,22.0,data/S_22/label_111.npy
data/S_22/141.png,141.0,22.0,data/S_22/label_141.npy
data/S_23/49.png,49.0,23.0,data/S_23/label_49.npy
data/S_23/80.png,80.0,23.0,data/S_23/label_80.npy
data/S_23/99.png,99.0,23.0,data/S_23/label_99.npy
data/S_24/52.png,52.0,24.0,data/S_24/label_52.npy
data/S_24/109.png,109.0,24.0,data/S_24/label_109.npy
data/S_25/34.png,34.0,25.0,data/S_25/label_34.npy
data/S_25/49.png,49.0,25.0,data/S_25/label_49.npy
data/S_25/127.png,127.0,25.0,data/S_25/label_127.npy
data/S_26/48.png,48.0,26.0,data/S_26/label_48.npy
data/S_26/81.png,81.0,26.0,data/S_26/label_81.npy
data/S_27/52.png,52.0,27.0,data/S_27/label_52.npy
data/S_27/115.png,115.0,27.0,data/S_27/label_115.npy
data/S_27/140.png,140.0,27.0,data/S_27/label_140.npy
data/S_28/79.png,79.0,28.0,data/S_28/label_79.npy
data/S_28/118.png,118.0,28.0,data/S_28/label_118.npy
data/S_29/40.png,40.0,29.0,data/S_29/label_40.npy
data/S_29/81.png,81.0,29.0,data/S_29/label_81.npy
data/S_29/142.png,142.0,29.0,data/S_29/label_142.npy
data/S_30/37.png,37.0,30.0,data/S_30/label_37.npy
data/S_30/95.png,95.0,30.0,data/S_30/label_95.npy
data/S_31/34.png,34.0,31.0,data/S_31/label_34.npy
data/S_31/36.png,36.0,31.0,data/S_31/label_36.npy
data/S_32/80.png,80.0,32.0,data/S_32/label_80.npy
data/S_32/109.png,109.0,32.0,data/S_32/label_109.npy
data/S_32/134.png,134.0,32.0,data/S_32/label_134.npy
data/S_33/66.png,66.0,33.0,data/S_33/label_66.npy
data/S_33/94.png,94.0,33.0,data/S_33/label_94.npy
data/S_34/39.png,39.0,34.0,data/S_34/label_39.npy
data/S_34/64.png,64.0,34.0,data/S_34/label_64.npy
data/S_35/18.png,18.0,35.0,data/S_35/label_18.npy
data/S_35/37.png,37.0,35.0,data/S_35/label_37.npy
data/S_36/67.png,67.0,36.0,data/S_36/label_67.npy
data/S_36/97.png,97.0,36.0,data/S_36/label_97.npy
data/S_36/137.png,137.0,36.0,data/S_36/label_137.npy
data/S_37/21.png,21.0,37.0,data/S_37/label_21.npy
data/S_37/78.png,78.0,37.0,data/S_37/label_78.npy
data/S_38/26.png,26.0,38.0,data/S_38/label_26.npy
data/S_38/102.png,102.0,38.0,data/S_38/label_102.npy
data/S_39/33.png,33.0,39.0,data/S_39/label_33.npy
data/S_39/93.png,93.0,39.0,data/S_39/label_93.npy
data/S_39/110.png,110.0,39.0,data/S_39/label_110.npy
data/S_40/39.png,39.0,40.0,data/S_40/label_39.npy
data/S_40/121.png,121.0,40.0,data/S_40/label_121.npy
data/S_41/24.png,24.0,41.0,data/S_41/label_24.npy
data/S_41/136.png,136.0,41.0,data/S_41/label_136.npy
data/S_42/49.png,49.0,42.0,data/S_42/label_49.npy
data/S_42/125.png,125.0,42.0,data/S_42/label_125.npy
data/S_43/64.png,64.0,43.0,data/S_43/label_64.npy
data/S_43/80.png,80.0,43.0,data/S_43/label_80.npy
data/S_43/97.png,97.0,43.0,data/S_43/label_97.npy
data/S_44/131.png,131.0,44.0,data/S_44/label_131.npy
data/S_44/133.png,133.0,44.0,data/S_44/label_133.npy
data/S_45/23.png,23.0,45.0,data/S_45/label_23.npy
data/S_45/95.png,95.0,45.0,data/S_45/label_95.npy
data/S_46/66.png,66.0,46.0,data/S_46/label_66.npy
data/S_46/77.png,77.0,46.0,data/S_46/label_77.npy
data/S_46/142.png,142.0,46.0,data/S_46/label_142.npy
data/S_47/92.png,92.0,47.0,data/S_47/label_92.npy
data/S_47/127.png,127.0,47.0,data/S_47/label_127.npy
data/S_48/27.png,27.0,48.0,data/S_48/label_27.npy
data/S_48/116.png,116.0,48.0,data/S_48/label_116.npy
data/S_49/32.png,32.0,49.0,data/S_49/label_32.npy
